sound_id,value,tier
m,m,segmental
n,n,segmental
pʰ,pʰ,segmental
tʰ,tʰ,segmental
kʰ,kʰ,segmental
b,b,segmental
d,d,segmental
ɡ,ɡ,segmental
pʼ,pʼ,segmental
tʼ,tʼ,segmental
kʼ,kʼ,segmental
qʼ,qʼ,segmental
t͡sʰ,t͡sʰ,segmental
t͡ʃʰ,t͡ʃʰ,segmental
d͡z,d͡z,segmental
d͡ʒ,d͡ʒ,segmental
t͡sʼ,t͡sʼ,segmental
t͡ʃʼ,t͡ʃʼ,segmental
s,s,segmental
ʃ,ʃ,segmental
x,x,segmental
h,h,segmental
v,v,segmental
z,z,segmental
ʒ,ʒ,segmental
ɣ,ɣ,segmental
r,r,segmental
l,l,segmental
a,a,segmental
ɛ,ɛ,segmental
i,i,segmental
ɔ,ɔ,segmental
u,u,segmental
